entity_text,word_length,bert_token_count,biobert_token_count
hexamethylmelamine,1,6,6
Methamphetamine,1,5,4
thalidomide,1,4,4
ischaemia,1,3,3
norpethidine,1,4,4
BNPP,1,2,3
multicystic encephalomalacia,2,9,10
mastodynia,1,4,3
atenolol,1,4,4
bronchiectasis,1,5,6
blurred vision,2,2,2
Hoechst 33342,2,5,5
arrhythmia,1,5,5
Tetrabenazine,1,5,5
AFL,1,1,1
gastrointestinal bleeding,2,5,6
intracranial hypertension,2,5,9
trimetaphan,1,4,4
mitochondrial abnormalities,2,2,3
testosterone,1,1,2
BUN,1,1,2
TdP,1,2,3
circulatory failure,2,5,5
gestodene,1,4,4
Neurologic toxicities,2,5,6
busulfan,1,3,3
Syncope,1,2,3
end-stage renal disease,3,5,6
hypokalemia,1,5,5
Renal failure,2,2,3
iocarmate,1,3,4
DES,1,1,2
ropivacaine,1,4,5
myocardial injury,2,4,5
intrauterine growth retardation,3,7,8
overdose,1,1,3
LNNA,1,2,3
hypothermia,1,5,5
Nitric oxide,2,3,3
potassium aspartate,2,4,4
TMP-SMZ,1,5,5
HIT II,2,2,3
hematologic malignancies,2,6,8
Bepridil hydrochloride,2,8,9
hypertelorism,1,4,5
ventricular dysfunction,2,4,6
vocal nerve palsies,3,4,5
HIV seroconversion,2,5,5
contrast medium,2,2,2
ischemic hemisphere,2,4,4
cephalexin,1,4,4
impaired renal function,3,3,4
neuroinflammatory,1,7,7
acetylcholine,1,5,5
hypovolemia,1,5,6
FHF,1,3,2
Valproate,1,3,4
oxcarbazepine,1,5,6
Myocardial infarction,2,6,7
drug-induced dyskinesias,2,8,8
thalassemia,1,3,4
"3,7-dimethyl-1-propargylxanthine",1,17,17
hypoparathyroidism,1,7,7
hemolysis,1,3,3
disseminated intravascular coagulation,3,9,10
subcellular degeneration,2,5,5
Extrapyramidal syndrome,2,5,5
T. chebula extract,3,5,6
seizures,1,1,2
ammonia,1,1,2
Aconitine,1,3,4
idiopathic orthostatic hypotension,3,12,12
cyproheptadine,1,5,7
immunodeficiencies,1,6,7
vasopressin,1,4,5
atrioventricular block,2,6,6
Metallothionein,1,5,5
4-aminopyridine,1,6,6
MDP,1,2,2
urethane,1,3,3
Neuroleptic,1,4,4
trimethaphan,1,4,4
Famotidine,1,4,4
hypercalcemic,1,4,5
allodynia,1,4,3
kidney injury,2,2,2
tachy- or bradycardia,3,7,8
carcinoma of the prostate,4,6,7
HPMA,1,2,2
angiotensin-converting enzyme inhibitors,3,8,9
aspirin,1,3,3
basal ganglia infarcts,3,6,6
amyloidosis,1,3,4
Myotonia congenita,2,6,6
Alendronate,1,4,4
hyperaldosteronism,1,5,6
cervical carcinoma,2,4,7
coronary arterial disease,3,4,6
brain tumors,2,2,2
myocarditis,1,4,4
iron,1,1,1
hypertrophied,1,4,5
parkinsonism,1,2,4
botox,1,2,3
glioma,1,3,3
tachycardial,1,4,4
antithyroid medications,2,4,4
impaired fear recognition,3,3,3
Levobupivacaine,1,6,6
OXC,1,2,3
substance abuse disorder,3,3,3
sinoatrial (S-A) block,3,9,9
ureteric stones or obstruction,4,6,8
Dex,1,1,1
desmethylimipramine,1,6,7
H,1,1,1
schizophrenic,1,6,6
urinary stress incontinence,3,8,8
IDM,1,2,2
nervous system abnormalities,3,3,4
AMP,1,1,2
malignancy,1,3,4
nitrendipine,1,4,4
timolol maleate,2,5,6
glomerular injury,2,5,5
NG-nitro-L-arginine,1,10,12
Evans Blue,2,2,2
diabetic,1,3,3
Sudden Cardiac Death,3,3,5
acetic acid,2,3,3
right bundle branch block,4,4,4
norleucine,1,4,4
CVDs,1,2,3
Verapamil,1,4,4
corticotropin,1,5,5
PDTC,1,2,2
PD,1,1,1
ESRD,1,2,3
visual hallucinations,2,4,5
bleeding,1,1,1
neuroleptic malignant syndrome,3,7,8
abecarnil,1,4,5
metronidazole,1,5,5
OCs,1,2,2
transient ischaemic attacks,3,6,7
Lisinopril,1,4,4
glomerular sclerosis,2,7,7
sotalol,1,3,3
sensory disturbance,2,2,2
Staphylococcal infections,2,7,7
interstitial nephritis,2,7,8
secondary hyperalgesia,2,5,6
neurogenic DI,2,4,5
RAD001,1,4,4
ethambutol,1,5,4
hypomania,1,4,5
K,1,1,1
"2,5-di-O-acetyl-D-glucaro-1,4-6,3-dilactone",1,30,31
neuropathic,1,3,3
Suxamethonium,1,5,5
Central nervous system and cardiac toxicity,6,6,6
coronary artery spasm,3,5,6
Poisoning,1,1,3
Sodium nitrite,2,4,5
fenoterol-hydrobromide,1,7,10
MK-801,1,4,5
abdominal infections,2,2,2
nephrogenic diabetes insipidus,3,9,9
PB,1,2,2
nephrotoxic,1,5,5
transient ischemic attack,3,5,6
paclitaxel,1,4,5
peritoneal carcinoma,2,7,7
preterm infants,2,4,4
electrolyte disorder,2,4,4
status epilepticus,2,5,5
Mantle cell lymphoma,3,6,6
alkylxanthines,1,7,7
hepatitis C virus infection,4,4,6
PAP,1,2,2
inflammation,1,1,1
tonic clonic convulsions,3,7,9
cyclosporine,1,5,6
peliosis,1,3,3
bone marrow suppression,3,3,4
angiotensin,1,4,4
ventricular remodeling,2,7,7
MC,1,1,1
mitral regurgitation,2,5,6
Autoimmune diseases,2,5,5
pulmonary embolism,2,4,4
PGF2 alpha,2,4,5
loiasis,1,3,3
MT,1,1,2
angioedema,1,4,4
cocaine,1,1,1
capsaicin,1,3,3
peripheral sensory neuropathy,3,5,5
CYA,1,2,3
necrotic,1,3,4
SSRI,1,2,2
L-Dopa,1,4,4
phenols,1,3,3
non-small cell lung cancer,4,6,6
barium,1,2,2
Bpd,1,2,3
Cephalothin,1,4,4
PPA,1,2,2
Toxicities,1,2,4
NVP,1,3,2
bisphosphonate,1,5,5
ZnSO(4),1,6,6
cardiac death,2,2,2
ocular dyskinesias,2,7,7
Isotretinoin,1,4,5
benzodiazepine,1,5,5
apomorphine,1,4,4
Tonic-clonic seizures,2,5,8
D-glucarate,1,6,6
bipolar mania,2,2,5
type 1 diabetes,3,3,3
Cerebellar and oculomotor dysfunction,4,11,13
HIV infection,2,2,2
kanamycin,1,3,4
dysphagia,1,4,4
squamous cell cervical carcinoma,4,8,11
restlessness,1,2,2
Succinylcholine,1,6,6
Sumatriptan succinate,2,7,7
lidocaine,1,3,3
Histamine,1,3,2
pertussis,1,3,3
zinc,1,1,1
diamorphine,1,4,4
glucose,1,1,1
muscimol,1,4,5
cGMP,1,3,3
priapism,1,3,4
tissue injury,2,2,2
heparins,1,3,3
asystole,1,3,4
bronchial asthma,2,4,7
lithium,1,1,2
arthritis,1,1,3
norethisterone,1,4,4
tonic-clonic seizure,2,5,7
levetiracetam,1,4,5
adrenaline,1,1,1
E,1,1,1
major depression disorder,3,3,3
p-aminohippuric acid,2,7,7
Hexabrix,1,4,4
acute kidney injury,3,3,3
Desvenlafaxine,1,6,6
deterioration of left ventricular (LV) systolic function,7,14,18
"D,L-4-amino-hex-5-enoic acid",2,16,17
personality disorder,2,2,2
skin reactions,2,2,2
monoHER,1,2,4
Growth retardation,2,4,4
oxitropium bromide,2,6,8
Althesin,1,3,3
clonidine,1,3,4
tumor lysis syndrome,3,4,5
tacrolimus,1,4,4
thrombocytopenia type II,3,8,8
Erdosteine,1,4,4
Proteinuria,1,2,3
Oxitropium,1,4,5
hyperthyroidism,1,4,5
Hypokalemia,1,5,5
FBAL,1,2,3
Dubutamine,1,3,3
ischaemic heart disease,3,6,6
hypertrophic cardiomyopathy,2,7,9
glomerulopathy,1,5,5
metolachor,1,4,3
Syndrome of inappropriate secretion of antidiuretic hormone,7,11,13
bile duct destruction,3,3,4
Epinephrine,1,4,4
NE,1,1,1
kidney damage,2,2,2
QT interval prolongation,3,6,6
oxidized and reduced glutathione,4,10,9
lateral epicondylitis,2,5,5
rapamycin,1,3,4
bradydysrhythmias,1,7,9
schizoaffective disorder,2,7,7
quinidine,1,3,4
LV hypertrophy,2,5,6
hepatic and renal toxicity,4,6,7
coronary artery or myocardial disease,5,8,10
gemfibrozil,1,5,6
acetrizoate,1,4,4
leukemic,1,3,3
ion channel disorders,3,3,3
DDAVP,1,3,3
apnea,1,2,3
coronary disease,2,3,4
Pb,1,2,2
hyponatraemia,1,5,6
encephalopathy,1,5,5
fulminant hepatic failure,3,8,8
cytopenia,1,3,4
niacin,1,3,3
toxicity,1,1,1
superoxide,1,2,2
Cancer,1,1,1
cardiovascular diseases,2,2,3
renal calculi,2,4,6
syndrome of inappropriate secretion of anti-diuretic hormone,7,12,12
postprandial dyspepsia,2,9,9
VDS,1,2,2
dyskinetic,1,4,4
hypercapnic,1,3,4
mastocytosis,1,4,4
hyperlocomotion,1,5,5
Nomega-nitro-L-arginine,1,12,13
oxitropium,1,4,5
PS,1,1,1
hemorrhage,1,4,4
Carbimazole,1,5,5
biperiden lactate,2,6,6
piperacillin,1,4,4
oliguria,1,3,4
methadone,1,3,3
epileptic seizure,2,4,4
Torsades de Pointes,3,6,6
congenital abnormalities,2,2,5
Pb poisoning,2,3,3
Doxil,1,3,3
Rg1 and Rb1 ginsenosides,4,10,12
Hepatitis,1,1,3
Cromakalim,1,4,4
FK506,1,3,3
strophanthidin,1,5,6
tremor,1,1,3
d4T,1,3,3
dehydration,1,4,4
XDR-TB,1,4,5
AgSD,1,2,3
risperidone,1,4,5
ISO,1,1,1
scopolamine,1,4,4
lenalidomide,1,4,5
hyperglyceridemic effect,2,6,7
dihydropyrimidine,1,6,7
citalopram,1,4,4
Diazinon,1,3,3
"hepatic, neurologic and psychiatric disorders",5,10,11
pilocarpine,1,4,4
chloride,1,1,1
myodystrophy,1,5,4
Epstein Barr Virus infection,4,4,8
viral hepatitis,2,2,4
parotiditis,1,4,4
hepatitis C virus infected,4,4,6
Angiotensin,1,4,4
scoline,1,3,3
Blepharoconjunctivitis,1,9,8
MDA,1,2,2
dUTP,1,2,3
meloxicam,1,4,4
Trimethoprim,1,4,4
pulmonary hypertension,2,3,5
menopausal symptoms,2,5,5
L-NAME,1,3,5
movement difficulties,2,2,2
GI bleeding,2,2,3
AZT,1,2,3
temsirolimus,1,5,5
DOPAC,1,2,3
Vincristine,1,4,4
metolachlor,1,4,4
paresthesia,1,2,3
trauma,1,1,1
Citrate,1,3,3
Adenosine triphosphate,2,6,6
KCl,1,2,2
DCF,1,2,2
Procaterol,1,3,3
renal tubular necrosis,3,4,7
Sulfadiazine,1,4,4
heart hypertrophy,2,4,5
apnoea,1,3,4
kidney cancer,2,2,2
Clonazepam,1,5,5
sodium nitroprusside,2,6,6
endometrial disease,2,5,5
hemicholinium,1,4,4
Minocycline,1,5,4
Tdp,1,2,3
emergency department,2,2,2
infection,1,1,1
puromycin-aminonucleoside,1,10,10
angina,1,2,3
ataxia,1,2,3
tubulointerstitial injury,2,7,7
RRMM,1,2,3
toxicities,1,2,2
renal disease,2,2,3
TXB2,1,3,3
Indomethacin,1,4,4
thrombotic,1,4,4
akinesia,1,3,3
hypoglycemia,1,6,6
Ro 16-6028,2,5,6
rheumatic disease,2,4,4
ifosfamide,1,4,5
Dobutamine,1,4,3
5-HIAA,1,4,5
Major depressive disorder,3,4,4
chorioretinal atrophy,2,7,7
nicotine,1,2,3
depression,1,1,1
Asterixis,1,4,4
H2O2,1,4,4
renal tubular injury,3,3,5
asthma,1,1,3
polycythemia,1,4,5
chenodeoxycholate,1,5,6
Carbetocin,1,4,4
propanolol,1,4,4
Toxicity,1,1,3
fever,1,1,1
neostigmine,1,4,4
stereotypies,1,3,3
methoxyflurane,1,6,6
isoprenaline,1,4,4
oral stereotypies,2,4,4
diabetic neuropathy,2,6,6
Convulsion,1,4,4
postural hypotension,2,7,7
hyperplasia,1,3,4
hydroquinone,1,3,4
Long QT syndrome,3,4,4
MA,1,1,1
minocycline,1,5,4
hemoglobinuria,1,5,5
panic attack,2,2,2
DA,1,1,2
Ventricular arrhythmias,2,8,10
biliary atresia,2,6,6
BS,1,1,1
levcromakalim,1,5,6
arterial dysfunction,2,2,5
coronary stenosis,2,4,6
Prinzmetal's angina,2,8,10
PENK,1,2,3
methimazole,1,4,4
Imipramine,1,4,4
Adrenaline,1,1,3
type 2 diabetic,3,5,5
D-AmB,1,4,4
Chinese herbal,2,2,3
HVA,1,2,2
Hypertension,1,2,4
aggressiveness,1,2,2
pertussis vaccine,2,4,4
Congestive heart failure,3,5,5
subarachnoid hemorrhage,2,9,9
Levetiracetam,1,4,4
"1,4-dihydropyridine",1,10,10
Headache,1,1,2
prostaglandin,1,5,5
sarcomas,1,3,4
posterior leukoencephalopathy,2,8,8
meningitis,1,3,3
spiperone,1,3,3
macro-papular rash,2,6,8
thrombocytopenia,1,6,6
erythema multiforme,2,6,7
Stevens-Johnson syndrome,2,4,4
Gentamicin,1,4,4
amphetamine,1,3,3
tumor,1,1,1
Bisphenol A,2,5,6
ischemia,1,3,3
TCA,1,2,2
Wilson's disease,2,4,4
angiotensin-converting enzyme inhibitor,3,8,8
Cognitive impairment,2,2,6
myxomatous degeneration,2,8,8
renal damages,2,2,3
peripheral neuropathy,2,4,4
serotonin,1,3,4
pupillary oscillation,2,5,6
dry eyes,2,2,2
chronic renal failure,3,3,4
Acute neurologic dysfunction,3,5,9
HBeAg,1,3,5
memory deterioration,2,2,5
ulcers,1,3,3
gustatory hyperhidrosis,2,5,8
carbimazole,1,5,5
"N-(trans-3-hydroxy-1,2,3,4-tetrahydro-2-naphthyl)-N-(3-oxo-3-phenyl-2-methylpropyl)-piperazine hydrochloride",2,59,64
ampicillin,1,3,4
occlusion of renal vessels,4,6,7
desvenlafaxine,1,6,6
Atrial thrombosis,2,6,6
cytotoxicity,1,5,5
Lenalidomide,1,4,4
FSGS,1,3,3
denopamine,1,3,3
hepatocellular carcinoma,2,7,7
TS,1,1,2
Losartan,1,3,3
MP,1,1,1
syncopal episode,2,4,5
maleate,1,2,2
NAFLD,1,3,3
CRF,1,2,2
everolimus,1,3,3
5-FU,1,3,4
Ca,1,1,2
calcium,1,1,1
hexaaldonic acids,2,5,5
hyponatremia,1,5,6
central nervous system disease,4,4,4
Sermion,1,3,3
manic,1,2,2
diarrheas,1,4,5
cardiotoxicity,1,5,5
Gly-Phe-Leu-Gly,1,11,11
cardiac damage,2,2,2
hoarseness,1,2,2
mitochondrial injury,2,2,2
baboon syndrome,2,4,4
tenofovir disoproxil fumarate,3,12,13
Pilocarpine,1,4,4
lomustine,1,3,3
picrotoxin,1,4,5
DI,1,1,2
epileptic,1,3,3
VTE,1,2,2
central nervous system toxicity,4,4,4
loss of vision,3,3,3
polyuric,1,3,4
stenosis,1,2,3
primary open-angle glaucoma,3,8,8
Scopolamine,1,4,4
amlodipine,1,4,4
organophosphate,1,4,4
dementia,1,1,3
pancuronium,1,4,4
CHX,1,2,2
Azotemia,1,3,4
ventricular fibrillation,2,6,7
hypothyroidism,1,6,6
STZ,1,2,2
spasm,1,2,2
ACE inhibitors,2,2,4
argatroban,1,4,4
migraine,1,2,3
imipramine,1,4,4
extensively drug-resistant tuberculosis,3,5,5
syndrome of inappropriate anti-diuretic hormone,5,9,9
muscle fasciculation,2,5,6
estradiol,1,3,3
neurological dysfunctions,2,3,7
hydrochlorothiazide,1,7,8
corticosteroids,1,5,5
AMNS,1,2,2
bemegride,1,4,4
hyperammonemia,1,4,5
abnormalities in neuronal systems,4,6,7
IE,1,1,2
diabetics,1,3,3
neuromuscular blockade,2,5,5
vocal cord paralysis,3,3,4
acute lymphoblastic leukemia,3,7,8
tazobactam,1,5,5
methicillin,1,4,4
acute promyelocytic leukemia,3,7,9
Fazadinium,1,4,4
Chinese herbs,2,2,2
CGS 21680,2,4,4
non-small-cell lung cancer,3,7,7
aldosterone,1,3,4
hyperalgesic,1,4,5
coagulopathy,1,4,4
ACh,1,2,2
visual field loss,3,3,3
optic nerve hypoplasia,3,7,7
ascites,1,3,3
end-stage hepatic failure,3,7,7
schizophrenia,1,1,3
pseudotumor cerebri,2,6,6
essential hypertension,2,3,5
hyperactivity,1,3,4
5-hydroxyindoleacetic acid,2,9,10
Simvastatin,1,4,5
haloperidol,1,4,5
"1,25(OH)2D",1,7,7
saccharic acid,2,4,5
B-cell non-Hodgkin's lymphoma,3,15,14
cholecystokinin,1,6,6
Phenytoin,1,4,5
nitric oxide,2,3,3
galactorrhea,1,4,4
impaired novel word learning,4,4,4
Mastodynia,1,4,4
hyperlipoproteinemias,1,7,8
Candidiasis,1,3,4
cancers,1,1,2
nifedipine,1,4,4
disulfiram,1,4,4
caffeine,1,3,3
Thiopentone,1,4,5
chronic hepatitis C,3,3,5
ischemic colitis,2,5,6
chlorpromazine,1,5,5
gamma-aminobutyric acid,2,7,6
retinal toxicity,2,4,4
stippled epiphyses,2,7,7
Superoxide,1,2,2
L-glutamic acid,2,7,7
coronary artery stenosis,3,5,7
zinc acetate,2,3,3
ischemic and haemorrhagic stroke,4,11,11
hemosiderotic,1,4,4
Bupivacaine,1,4,5
myalgia,1,3,3
disturbances within the cardiovascular system,5,5,7
palmoplantar pustulosis,2,8,8
grand mal seizures,3,3,5
renal damage,2,2,3
chill,1,1,1
dysmenorrhea,1,6,6
glomerular or tubular dysfunction,4,7,10
Caffeine,1,3,4
tubulointerstitial nephritis,2,10,10
amitriptyline,1,4,5
cortical dysplasia,2,7,7
tuberculosis of the lung or lymph node,7,9,8
glipizide,1,4,4
photodermatitis,1,4,4
gentamicin,1,4,4
ovarian or fallopian tube cancers,5,9,10
HIV-infected,1,3,3
impaired renal and liver function,5,5,6
neuropathy,1,3,3
levomepromazine,1,5,6
Primary hyperparathyroidism,2,6,7
birdshot retinochoroidopathy,2,8,8
Dysguesia,1,4,4
melphalan,1,3,4
decreased the locomotor activity,4,6,7
Hydroxytyrosol,1,5,6
amphetamines,1,4,4
Nimesulide,1,4,4
hydroureteronephrosis,1,6,7
perioral dermatitis,2,6,6
Metformin,1,3,3
17alpha-ethinylestradiol,1,10,10
bacterial infections,2,2,2
hexamethonium,1,5,5
Premarin,1,3,3
Hemorrhage,1,4,4
BPA,1,2,2
idiopathic Parkinson's disease,3,7,7
subependymal cyst,2,7,8
morphine,1,2,3
Na,1,1,1
tremors,1,2,3
ethacrynic acid,2,6,6
toxic optic neuropathy,3,5,6
delusions,1,2,2
acute renal insufficiency,3,6,6
glyceryl trinitrate,2,8,7
Flecainide,1,4,5
Vigabatrin,1,4,4
PVC,1,2,2
non-Hodgkin lymphoma,2,10,9
ACE inhibitor,2,2,3
Levodopa,1,3,4
cardiotoxic,1,4,4
MB,1,1,1
Macroprolactinemia,1,6,6
Osteoporosis,1,5,5
gouty arthritis,2,4,6
carboplatin,1,4,5
irregular heartbeat,2,2,2
gastrointestinal toxicity,2,5,6
Burkitt lymphoma,2,7,7
halothane,1,3,3
naphazoline,1,4,4
coronary spasm,2,4,5
homonymous hemianopsia,2,7,7
LIDs,1,1,3
chronic active hepatitis,3,3,5
Acute tubulo-interstitial nephritis,3,11,13
vitamin D,2,2,2
hepatic insufficiency syndrome,3,8,7
hypotension,1,5,5
mastitis,1,2,2
orciprenaline,1,5,5
Temocapril,1,4,4
"2,3,5-triphenyltetrazolium chloride",2,14,14
premature ventricular contraction,3,5,5
azathioprine,1,4,5
hemorrhagic,1,5,5
HCTZ,1,2,3
ritodrin-HCl,1,7,7
neurologic toxicity,2,4,5
enprofylline,1,5,6
alfentanil,1,4,4
epirubicin,1,5,5
renal failure,2,2,3
veralipride,1,3,4
tonic pupillary,2,3,4
sepsis,1,2,2
Pneumonitis,1,5,5
amblyopia,1,4,4
ADSD,1,2,2
schizophreniform disorder,2,7,7
drug-induced liver injury,3,5,5
dyspnea,1,4,4
flurazepam,1,4,4
aristolochic acids,2,6,5
Contrast medium,2,2,4
tyrosine,1,3,4
dysarthria,1,4,5
carcinoma of the urinary tract,5,9,9
ornithine,1,4,4
Vasopressin,1,4,5
cardiovascular depression,2,2,3
leukaemia,1,3,3
Dimer-X,1,4,4
EFV,1,3,3
galactose,1,3,3
sinoatrial block,2,4,4
MR,1,1,1
hyperbilirubinemia,1,6,7
dex,1,1,2
hypercalcemias,1,5,6
Memantine,1,3,3
behavior disorder,2,2,2
audiogenic tonic convulsions,3,7,8
Wiskott-Aldrich syndrome,2,7,8
bortezomib,1,5,5
periocular dermatitis,2,6,6
loss of hearing,3,3,3
carbamazepine,1,5,5
Linezolid,1,3,3
Eslicarbazepine acetate,2,7,9
Nonalcoholic fatty liver disease,4,8,8
inorganic arsenic,2,2,7
hypertension,1,2,4
adriamycin,1,4,4
hyperammonemic encephalopathy,2,10,11
infections,1,1,1
curcumin,1,4,4
depressed,1,1,1
cycloheximide,1,6,8
hepatic impairment,2,4,6
3NT,1,2,2
Syndrome of inappropriate antidiuretic hormone,5,8,10
hypothyroid,1,5,5
akathisia,1,3,3
muscle fasciculations,2,6,6
Acute kidney injury,3,3,4
isotretinoin embryopathy,2,6,9
sucralfate,1,5,5
GR 82334,2,4,5
Dexmedetomidine,1,5,5
impaired memory,2,2,2
Nephropathy,1,4,5
neutropenic fever,2,6,6
sinus tachycardia,2,6,6
all-trans-retinoic acid,2,8,8
vincristine sulfate,2,5,8
norvaline,1,3,3
Gemfibrozil,1,5,6
ACC-9653,1,4,4
Amphotericin B,2,5,6
CNSB002,1,4,5
venous thromboembolism,2,8,8
cardiogenic shock,2,4,4
Fluoxetine,1,4,5
fluconazole,1,4,4
Chest pain,2,2,3
sleep disturbance,2,2,2
secondary infection,2,2,2
tinnitus,1,3,3
migraines,1,3,3
valproate,1,3,5
retinal vein occlusion,3,7,7
renal disturbance,2,2,3
alanine,1,2,3
Nifedipine,1,4,4
acne,1,2,3
ventricular septal defects,3,6,7
follicular cell lymphoma,3,8,7
VNR,1,2,2
intracerebral hemorrhage,2,8,9
polydipsia,1,4,5
cardiac arrhythmia,2,6,6
p-aminophenol,1,6,6
orphanin FQ,2,4,4
cardiovascular or central nervous system toxicity,6,6,7
atherosclerosis,1,5,5
EE,1,1,2
MIP,1,2,2
cerebrovascular disease,2,6,6
gingival hyperplasia,2,6,7
corneal ulcers,2,5,5
metallothionein,1,5,5
NA,1,1,2
cimetidine,1,4,4
adverse drug reaction,3,3,3
Dehydrated,1,4,4
amenorrhea,1,4,4
l-arginine,1,5,6
omeprazole,1,4,5
asthmatic,1,2,3
nephrotic,1,4,4
SSc,1,2,2
sirolimus,1,3,3
neuroinflammation,1,6,6
Phenylalanine,1,5,5
severe malaria,2,2,2
progestins,1,4,4
coronary artery disease,3,4,5
oleic acid,2,3,4
hemosiderin,1,4,4
loss of consciousness,3,3,3
Progesterone,1,4,4
MMC,1,2,2
hyperalgesia,1,4,5
fludrocortisone,1,5,6
Neuroinflammation,1,6,7
danazol,1,3,4
Dyskinesia,1,5,5
IUGR,1,3,3
malondialdehyde,1,5,6
Swallowing abnormalities,2,2,5
L-DOPA,1,4,5
CPDD,1,2,3
Chlorhexidine phosphanilate,2,10,10
TIA,1,1,2
necrosis,1,2,3
CHP,1,2,2
sodium nitrite,2,4,4
cytosine arabinoside,2,6,8
etoposide,1,4,4
PTLD,1,2,2
ARI,1,1,2
Nelarabine,1,4,4
contrast media,2,2,2
Seizures,1,1,3
amphotericin B,2,5,6
endometrial carcinoma,2,7,7
nephrogenic DI,2,5,6
hyporeninemic hypoaidosteronism,2,12,12
fluocinolone acetonide,2,7,7
biotin,1,2,2
Paraplegia,1,3,3
papilledema,1,4,5
Tacrolimus,1,4,4
steroid,1,2,3
S-23121,1,4,4
oxytocin,1,4,4
hemolytic anemia,2,5,5
cardiac arrhythmias,2,6,7
trimethoprim,1,4,4
rocuronium,1,3,4
gadolinium,1,4,4
piperazine,1,3,3
respiratory dysfunction,2,2,4
anterior infarction,2,4,4
cerebral ischemic infarction,3,7,7
squamous cell carcinoma of the cervix,6,13,13
indinavir,1,3,3
6-OHDA,1,4,4
lung cancer,2,2,2
SH,1,1,1
anthracyclines,1,5,5
acute hepatitis,2,2,4
Myositis,1,3,3
Hypotension,1,5,5
post-herpetic neuralgia,2,7,7
Pupillary dilation,2,4,6
colon cancer,2,2,3
breast cancer,2,2,2
embryonic death,2,3,5
cutaneous reactions,2,3,3
etomidate,1,3,3
Re,1,1,1
sodium,1,1,1
celecoxib,1,5,5
caproate,1,3,3
amphotericin B-sodium deoxycholate,3,11,12
pituitary tumors,2,4,4
blood loss,2,2,2
papillary necrosis,2,5,7
Meloxicam,1,4,4
depressive episode,2,3,3
"impairments in learning, attention, inhibitory control, and arousal regulation",9,14,15
hand-foot syndrome,2,4,4
Baboon syndrome,2,4,4
coronary arteriosclerosis,2,7,8
chronic liver disease,3,3,3
isoniazide,1,4,4
TA-064,1,4,5
